COD_AREA_PROGR;ZONA_SANITARIA;NOM_A_PROGRAMA;COD_LOC;NOM_LOC;TIENE_ESCU;COD_LOC_IN;TIPO;GEOM900913;wkt_geom;CLASIFICACION_PROV;CodProv;CodDepart;CodLoc;Establec;NOMBRE_ENT
32;3;BUTA RANQUIL;58091008;BUTA RANQUIL;t;58091020;LOCALIDAD SIMPLE;"SRID=900913;POINT(-7778403.63616086 -4446087.5337518)";POINT(-69.874589 -37.050065);municipio 2;58;091;020;HOSP.BUTA RANQUIL;BUTA RANQUIL
32;3;BUTA RANQUIL;58091009;BUTACO;t;;PARAJE;"SRID=900913;POINT(-7771307.67579325 -4426166.90028175)";POINT(-69.810845 -36.907109);paraje;58;091;000;HOSP.BUTA RANQUIL;BUTACO
34;3;LAS OVEJAS;58077010;BUTALON NORTE;t;;PARAJE;"SRID=900913;POINT(-7874391.79208576 -4440093.97270046)";POINT(-70.736865 -37.007082);paraje;58;077;000;HOSP.LAS OVEJAS;BUTALON NORTE
30;3;CHOS MALAL;58042005;CAEPE MALAL;t;;PARAJE;"SRID=900913;POINT(-7835515.23564949 -4462990.1188081)";POINT(-70.387631 -37.171152);paraje;58;042;000;HOSP.CHOS MALAL;CAEPE MALAL
31;3;TRICAO MALAL;58042006;CAJON CURILEUVU;t;;PARAJE;"SRID=900913;POINT(-7838747.51378759 -4457708.0190573)";POINT(-70.416667 -37.133333);paraje;58;042;000;HOSP.TRICAO MALAL;CAJON DEL CURILEUVU
24;2;LONCOPUE;58063004;CAJON DE ALMAZA;t;;PARAJE;"SRID=900913;POINT(-7850932.49423988 -4601367.21677898)";POINT(-70.526127 -38.155155);paraje;58;063;000;HOSP.LONCOPUE;CAJON DE ALMAZA
25;2;EL HUECU;58084002;CAJON DEL HUECU;f;;PARAJE;"SRID=900913;POINT(-7857370.07037387 -4525410.94409998)";POINT(-70.583956 -37.616643);paraje;;;;;
40;4;SAN MARTIN DE LOS ANDES;58056003;CALEUFU;f;;PARAJE;"SRID=900913;POINT(-7922638.21601979 -4939649.49115144)";POINT(-71.170270 -40.505330);paraje;58;056;000;HOSP.SAN MARTIN DE LOS ANDES;CALEUFU
20;2;ZAPALA;58112008;CALFUCURA (RAI);f;;PARAJE;"SRID=900913;POINT(-7795041.7318615 -4725633.62966022)";POINT(-70.024051 -39.027655);paraje;;;;;
24;2;LONCOPUE;58063005;CAMPANA MAHUIDA;t;;PARAJE;"SRID=900913;POINT(-7859146.99172461 -4607715.75588415)";POINT(-70.599919 -38.199986);paraje;;;;;
31;3;TRICAO MALAL;58042007;CANCHA HUINGANCO;t;;PARAJE;"SRID=900913;POINT(-7838747.5137885 -4439106.78725151)";POINT(-70.416667 -37.000000);paraje;58;042;000;HOSP.TRICAO MALAL;CANCHA HUINGANCO
16;5;PIEDRA DEL AGUILA;58028002;CARRAN CURA;t;;PARAJE;"SRID=900913;POINT(-7827658.0887389 -4868273.58778584)";POINT(-70.317049 -40.016041);paraje;58;028;000;HOSP.PIEDRA DEL AGUILA;CARRAN CURA
